time,ADS,section,level
2024-03-28 14:27:21.940308,TCP,Curve,0
2024-03-28 14:49:55.590130,TCP,Curve,1
2024-03-28 15:04:35.346602,TCP,Curve,2
2024-03-28 15:42:02.814014,TCP,Curve,3
2024-03-28 16:03:19.859449,TCP,Curve,4
2024-03-28 16:46:14.807912,TCP,Curve,baseline
2024-03-28 17:10:02.072024,TCP,Straight,0
2024-03-28 17:37:34.010477,TCP,Straight,1
2024-03-28 18:40:09.007800,TCP,Straight,2
2024-03-28 19:19:26.411706,TCP,Straight,3
2024-03-28 20:35:30.955266,TCP,Straight,4
2024-03-28 22:08:59.904689,TCP,Straight,baseline
2024-03-28 22:48:04.668926,InterFuser,Curve,0
2024-03-28 23:18:58.041442,InterFuser,Curve,1
2024-03-28 23:52:02.893941,InterFuser,Curve,2
2024-03-29 00:37:19.622650,InterFuser,Curve,3
2024-03-29 01:43:42.124663,InterFuser,Curve,4
2024-03-29 03:53:42.592877,InterFuser,Curve,baseline
2024-03-29 04:26:42.045977,InterFuser,Straight,0
2024-03-29 05:21:31.729269,InterFuser,Straight,1
2024-03-29 07:12:59.885262,InterFuser,Straight,2
2024-03-29 08:34:24.749783,InterFuser,Straight,3
2024-03-29 10:28:43.541281,InterFuser,Straight,4
2024-03-29 12:50:56.062019,InterFuser,Straight,baseline
