==========================================================
n_gen  |  n_eval  | n_nds  |      eps      |   indicator  
==========================================================
     1 |       50 |      5 |             - |             -
     2 |       60 |      7 |  0.0279794296 |         ideal
     3 |       70 |      8 |  0.6648290010 |         nadir
     4 |       80 |      8 |  0.0804868201 |             f
     5 |       90 |      9 |  0.0196435478 |             f
     6 |      100 |     10 |  0.0509169280 |             f
     7 |      110 |     11 |  0.0073281038 |             f
     8 |      120 |     11 |  0.000000E+00 |             f
     9 |      130 |     14 |  0.1656089761 |         ideal
    10 |      140 |     15 |  0.0149567136 |             f
    11 |      150 |     17 |  0.1167366209 |         nadir
    12 |      160 |     21 |  0.1321651318 |         nadir
    13 |      170 |     21 |  0.0093136850 |             f
    14 |      180 |     21 |  0.0093750404 |             f
    15 |      190 |     24 |  0.0096144527 |             f
    16 |      200 |     27 |  0.0066634083 |             f
    17 |      210 |     27 |  0.0016850498 |             f
    18 |      220 |     20 |  0.0258673257 |             f
    19 |      230 |     17 |  0.0186432833 |             f
    20 |      240 |     18 |  0.0346448432 |         nadir
    21 |      250 |     19 |  0.0660107234 |         ideal
    22 |      260 |     18 |  0.0155218589 |             f
    23 |      270 |     19 |  0.0053158697 |             f
    24 |      280 |     14 |  1.0911423656 |         nadir
    25 |      290 |     16 |  0.0170497486 |             f
    26 |      300 |     17 |  0.3183574482 |         ideal
    27 |      310 |     19 |  0.0101738553 |             f
    28 |      320 |     21 |  0.1356097903 |         nadir
    29 |      330 |     23 |  0.0065651253 |             f
    30 |      340 |     22 |  0.0059784566 |             f
    31 |      350 |     24 |  0.0201306335 |         ideal
    32 |      360 |     26 |  0.0120797758 |             f
    33 |      370 |     27 |  0.1568849217 |         nadir
    34 |      380 |     27 |  0.0350200325 |         ideal
    35 |      390 |     28 |  0.0122287161 |             f
    36 |      400 |     27 |  0.0135735627 |         nadir
    37 |      410 |     28 |  0.0203033270 |         ideal
    38 |      420 |     30 |  0.0004249378 |             f
    39 |      430 |     26 |  0.1666967607 |         nadir
    40 |      440 |     29 |  0.0053536401 |             f
    41 |      450 |     31 |  0.0041566190 |             f
    42 |      460 |     30 |  0.0082597505 |             f
    43 |      470 |     27 |  0.0048015482 |             f
    44 |      480 |     27 |  0.0031114443 |             f
    45 |      490 |     29 |  0.0046563388 |             f
    46 |      500 |     27 |  0.0239391997 |         ideal
    47 |      510 |     29 |  0.0055071658 |             f
    48 |      520 |     28 |  0.1086708301 |         nadir
    49 |      530 |     29 |  0.0027142643 |             f
    50 |      540 |     31 |  0.0021285642 |             f
    51 |      550 |     33 |  0.0246024645 |         ideal
    52 |      560 |     28 |  0.0063108498 |             f
    53 |      570 |     26 |  0.0067561245 |             f
    54 |      580 |     30 |  0.0098917418 |             f
    55 |      590 |     28 |  0.0448609103 |         nadir
    56 |      600 |     29 |  0.0015968817 |             f
    57 |      610 |     28 |  0.0181614158 |         nadir
    58 |      620 |     30 |  0.0334113027 |         ideal
    59 |      630 |     32 |  0.0039895043 |             f
    60 |      640 |     33 |  0.000000E+00 |             f
    61 |      650 |     34 |  0.0016245645 |             f
    62 |      660 |     32 |  0.0042419408 |             f
    63 |      670 |     35 |  0.0080422645 |         ideal
    64 |      680 |     35 |  0.0013828556 |             f
    65 |      690 |     39 |  0.0035605975 |             f
    66 |      700 |     35 |  0.2417700827 |         nadir
    67 |      710 |     29 |  0.0014126089 |             f
    68 |      720 |     29 |  0.0047348210 |         nadir
    69 |      730 |     31 |  0.0012021243 |             f
    70 |      740 |     34 |  0.0330430149 |         nadir
    71 |      750 |     34 |  0.000000E+00 |             f
    72 |      760 |     35 |  0.0058416021 |             f
    73 |      770 |     38 |  0.0091847014 |             f
    74 |      780 |     39 |  0.0013099454 |             f
    75 |      790 |     43 |  0.0106631832 |         nadir
    76 |      800 |     44 |  0.0826136931 |         nadir
    77 |      810 |     42 |  0.0033945360 |             f
    78 |      820 |     44 |  0.1715466561 |         nadir
    79 |      830 |     38 |  0.0645531124 |         nadir
    80 |      840 |     38 |  0.000000E+00 |             f
    81 |      850 |     39 |  0.2070685783 |         nadir
    82 |      860 |     40 |  0.0004320990 |             f
    83 |      870 |     43 |  0.0019281881 |             f
    84 |      880 |     45 |  0.0057462005 |             f
    85 |      890 |     43 |  0.0031257910 |             f
    86 |      900 |     47 |  0.0128236659 |         ideal
    87 |      910 |     47 |  0.0154081362 |         ideal
    88 |      920 |     47 |  0.0186125647 |         ideal
    89 |      930 |     48 |  0.0022933566 |             f
    90 |      940 |     49 |  0.0063823300 |             f
    91 |      950 |     46 |  0.0081307846 |         ideal
    92 |      960 |     48 |  0.0017877436 |             f
    93 |      970 |     50 |  0.0025365480 |             f
    94 |      980 |     50 |  0.0005344370 |             f
    95 |      990 |     50 |  0.0029689786 |             f
    96 |     1000 |     50 |  0.0016433244 |             f
    97 |     1010 |     50 |  0.0022065753 |             f
    98 |     1020 |     50 |  0.0041858073 |             f
    99 |     1030 |     50 |  0.0032192092 |             f
   100 |     1040 |     50 |  0.0032616677 |             f
   101 |     1050 |     48 |  0.0951019147 |         nadir
   102 |     1060 |     50 |  0.0031434889 |             f
   103 |     1070 |     50 |  0.0028114138 |             f
   104 |     1080 |     50 |  0.0011176543 |             f
   105 |     1090 |     50 |  0.0031589024 |             f
   106 |     1100 |     50 |  0.0032884219 |             f
   107 |     1110 |     47 |  0.0020569277 |             f
   108 |     1120 |     48 |  0.0409328908 |         nadir
   109 |     1130 |     45 |  0.0025661262 |             f
   110 |     1140 |     46 |  0.0005876070 |             f
   111 |     1150 |     49 |  0.0870493932 |         nadir
   112 |     1160 |     50 |  0.0012820160 |             f
   113 |     1170 |     50 |  0.0291391165 |         ideal
   114 |     1180 |     50 |  0.0168394545 |         ideal
   115 |     1190 |     50 |  0.0015206005 |             f
   116 |     1200 |     50 |  0.0020117730 |             f
   117 |     1210 |     50 |  0.0031871197 |             f
   118 |     1220 |     50 |  0.0012425360 |             f
   119 |     1230 |     50 |  0.0012425360 |             f
   120 |     1240 |     49 |  0.0031127013 |             f
   121 |     1250 |     50 |  0.0040738737 |             f
   122 |     1260 |     50 |  0.0042279696 |             f
   123 |     1270 |     50 |  0.0006682935 |             f
   124 |     1280 |     50 |  0.0019525312 |             f
   125 |     1290 |     50 |  0.0033970242 |             f
   126 |     1300 |     50 |  0.0047001308 |             f
   127 |     1310 |     50 |  0.0021646464 |             f
   128 |     1320 |     50 |  0.0036139337 |             f
   129 |     1330 |     50 |  0.0050545059 |         ideal
   130 |     1340 |     49 |  0.0013593920 |             f
   131 |     1350 |     50 |  0.0053600718 |             f
   132 |     1360 |     48 |  0.0028223982 |             f
   133 |     1370 |     50 |  0.0023710667 |             f
   134 |     1380 |     50 |  0.0035472143 |             f
   135 |     1390 |     50 |  0.0020915999 |             f
   136 |     1400 |     50 |  0.0136699773 |         nadir
   137 |     1410 |     50 |  0.0006668188 |             f
   138 |     1420 |     50 |  0.0009176321 |             f
   139 |     1430 |     50 |  0.0025659311 |             f
   140 |     1440 |     50 |  0.0114916819 |         nadir
   141 |     1450 |     50 |  0.0005071681 |             f
   142 |     1460 |     50 |  0.0013934742 |             f
   143 |     1470 |     50 |  0.0021709466 |             f
   144 |     1480 |     50 |  0.0033818147 |             f
   145 |     1490 |     50 |  0.0021007750 |             f
   146 |     1500 |     50 |  0.0037835317 |             f
   147 |     1510 |     50 |  0.0013642977 |             f
   148 |     1520 |     50 |  0.0029731755 |             f
   149 |     1530 |     50 |  0.0018295290 |             f
   150 |     1540 |     50 |  0.0025727374 |             f
   151 |     1550 |     50 |  0.0005273743 |             f
   152 |     1560 |     50 |  0.0009538130 |             f
   153 |     1570 |     50 |  0.2790252631 |         nadir
   154 |     1580 |     50 |  0.000000E+00 |             f
   155 |     1590 |     50 |  0.000000E+00 |             f
   156 |     1600 |     50 |  0.000000E+00 |             f
   157 |     1610 |     49 |  0.0512469305 |         nadir
   158 |     1620 |     49 |  0.0028312572 |         nadir
   159 |     1630 |     48 |  0.0008593792 |             f
   160 |     1640 |     48 |  0.0040300121 |             f
   161 |     1650 |     50 |  0.0015765547 |             f
   162 |     1660 |     50 |  0.0049367788 |             f
   163 |     1670 |     50 |  0.0015670795 |             f
   164 |     1680 |     50 |  0.0023716552 |             f
   165 |     1690 |     50 |  0.0033051980 |             f
   166 |     1700 |     50 |  0.0019859375 |             f
   167 |     1710 |     50 |  0.0050094675 |             f
   168 |     1720 |     50 |  0.0027511598 |             f
   169 |     1730 |     50 |  0.0034068590 |             f
   170 |     1740 |     50 |  0.0034679343 |             f
   171 |     1750 |     50 |  0.0022131257 |             f
   172 |     1760 |     50 |  0.0033102610 |             f
   173 |     1770 |     50 |  0.0016453093 |             f
   174 |     1780 |     50 |  0.0018521840 |             f
   175 |     1790 |     50 |  0.0052969968 |             f
   176 |     1800 |     50 |  0.0006909580 |             f
   177 |     1810 |     50 |  0.0014845758 |             f
   178 |     1820 |     50 |  0.0030512880 |             f
   179 |     1830 |     50 |  0.0007752207 |             f
   180 |     1840 |     50 |  0.0022161997 |             f
   181 |     1850 |     50 |  0.0050756047 |             f
   182 |     1860 |     50 |  0.0140229856 |         nadir
   183 |     1870 |     50 |  0.0688314998 |         nadir
