pygame 2.1.2 (SDL 2.0.16, Python 3.7.16)
Hello from the pygame community. https://www.pygame.org/contribute.html
==========================================================
n_gen  |  n_eval  | n_nds  |      eps      |   indicator  
==========================================================
     1 |       50 |      2 |             - |             -
     2 |       60 |      2 |  0.000000E+00 |             f
     3 |       70 |      2 |  0.000000E+00 |             f
     4 |       80 |      2 |  0.2246283129 |         ideal
     5 |       90 |      2 |  0.0400322625 |         ideal
     6 |      100 |      2 |  0.000000E+00 |             f
     7 |      110 |      2 |  0.000000E+00 |             f
     8 |      120 |      2 |  0.000000E+00 |             f
     9 |      130 |      2 |  0.0189283636 |         ideal
    10 |      140 |      3 |  0.0312707939 |             f
    11 |      150 |      3 |  0.000000E+00 |             f
    12 |      160 |      3 |  0.0739299611 |         ideal
    13 |      170 |      3 |  0.000000E+00 |             f
    14 |      180 |      3 |  0.000000E+00 |             f
    15 |      190 |      3 |  0.000000E+00 |             f
    16 |      200 |      3 |  0.000000E+00 |             f
    17 |      210 |      3 |  0.0562364505 |             f
    18 |      220 |      3 |  0.1041410660 |         ideal
    19 |      230 |      3 |  0.2723031184 |             f
    20 |      240 |      3 |  0.000000E+00 |             f
    21 |      250 |      3 |  0.0924925315 |         ideal
    22 |      260 |      3 |  0.0727099076 |         ideal
    23 |      270 |      3 |  0.000000E+00 |             f
    24 |      280 |      4 |  0.0503598220 |         ideal
    25 |      290 |      4 |  0.000000E+00 |             f
    26 |      300 |      5 |  0.0259931850 |             f
    27 |      310 |      5 |  0.000000E+00 |             f
    28 |      320 |      5 |  0.000000E+00 |             f
    29 |      330 |      6 |  0.0185308740 |             f
    30 |      340 |      4 |  0.0284600719 |         ideal
    31 |      350 |      4 |  0.000000E+00 |             f
    32 |      360 |      5 |  0.0234692827 |             f
    33 |      370 |      6 |  0.0424081095 |             f
    34 |      380 |      7 |  0.2387186972 |         ideal
    35 |      390 |      7 |  0.000000E+00 |             f
